Idade,Sexo,Raça,Estado civil,Educação,Emprego,Salario,Quantos livros você leu nos últimos 12 meses?,Leu algum livro físico nos últimos 12 meses?,Leu algum audiolivro nos últimos 12 meses?,Leu algum e-book nos últimos 12 meses?,"No último livro que você leu, você…",Você costuma ler notícias ou jornais diariamente?,Você costuma ler revistas?,Categoria de Idade,Frequência de Leitura
47,Feminino,Branca,Casado,Ensino médio completo,Empregado (Integral),"$50,000 - $75,000",84,Sim,Não,Não,Comprou o livro,Sim,Sim,Adulto,Alta
53,Feminino,Preta,Casado,Pós-graduação,Empregado (Integral),"$100,000 - $150,000",80,Sim,Sim,Sim,Comprou o livro,Sim,Sim,Adulto,Alta
69,Feminino,Branca,Solteiro,Pós-graduação,Aposentado,"$50,000 - $75,000",80,Sim,Sim,Não,Pegou de outra forma,Não,Sim,Idoso,Alta
65,Feminino,Branca,Casado,Ensino médio completo,Aposentado,Não Informado,80,Sim,Não,Não,Comprou o livro,Sim,Não,Idoso,Alta
64,Feminino,Branca,Casado,Ensino médio completo,Aposentado,Não Informado,80,Sim,Sim,Não,Comprou o livro,Não,Sim,Idoso,Alta
54,Feminino,Branca,Outros,Ensino médio completo,Desabilitado,"$30,000 - $40,000",80,Sim,Não,Não,Pegou de outra forma,Sim,Não,Adulto,Alta
18,Masculino,Branca,Solteiro,Ensino médio completo,Empregado (Integral),"Menos que $10,000",80,Sim,Não,Sim,Comprou o livro,Não,Não,Adulto,Alta
65,Masculino,Branca,Casado,Pós-graduação,Empregado (Meio Período),"$100,000 - $150,000",76,Não,Não,Sim,Pegou de outra forma,Sim,Sim,Idoso,Alta
24,Masculino,Raça Mista,Solteiro,Pós-graduação,Desempregado,"$50,000 - $75,000",75,Sim,Não,Sim,Comprou o livro,Sim,Não,Adulto,Alta
54,Feminino,Preta,Casado,Ensino médio completo,Empregado (Integral),"$30,000 - $40,000",75,Sim,Não,Não,Pegou emprestado de alguém,Sim,Não,Adulto,Alta
81,Feminino,Branca,Viúvo,Ensino superior completo,Desempregado,"$75,000 - $100,000",75,Sim,Sim,Não,Pegou numa biblioteca,Sim,Sim,Idoso,Alta
78,Feminino,Branca,Viúvo,Ensino médio completo,Aposentado,"$100,000 a $150,000",75,Sim,Não,Não,Pegou de outra forma,Sim,Não,Idoso,Alta
73,Feminino,Branca,Casado,Ensino superior completo,Empregado (Meio Período),"$30,000 - $40,000",75,Sim,Não,Não,Comprou o livro,Sim,Sim,Idoso,Alta
68,Feminino,Branca,Viúvo,Ensino médio completo,Aposentado,"$10,000 - $20,000",75,Sim,Não,Não,Pegou emprestado de alguém,Sim,Não,Idoso,Alta
65,Feminino,Branca,Divorciado,Ensino médio completo,Aposentado,"$30,000 - $40,000",75,Sim,Não,Não,Pegou numa biblioteca,Sim,Não,Idoso,Alta
62,Feminino,Branca,Casado,Ensino médio completo,Empregado (Integral),"$100,000 - $150,000",75,Sim,Não,Não,Comprou o livro,Sim,Sim,Idoso,Alta
61,Feminino,Branca,Casado,Ensino médio completo,Aposentado,"$100,000 - $150,000",75,Sim,Sim,Não,Comprou o livro,Sim,Sim,Idoso,Alta
55,Feminino,Branca,Viúvo,Ensino superior completo,Empregado (Integral),"$40,000 - $50,000",75,Sim,Não,Não,Pegou de outra forma,Sim,Não,Adulto,Alta
48,Feminino,Branca,Casado,Ensino superior completo,Desempregado,"$100,000 a $150,000",75,Sim,Sim,Não,Pegou emprestado de alguém,Sim,Sim,Adulto,Alta
48,Masculino,Branca,Solteiro,Pós-graduação,Empregado (Integral),"$50,000 - $75,000",75,Sim,Não,Sim,Comprou o livro,Sim,Sim,Adulto,Alta
45,Feminino,Branca,Solteiro,Pós-graduação,Empregado (Integral),Não Informado,75,Sim,Sim,Sim,Pegou numa biblioteca,Sim,Sim,Adulto,Alta
39,Masculino,Branca,Casado,Ensino superior completo,Empregado (Integral),"$100,000 - $150,000",75,Sim,Não,Sim,Pegou emprestado de alguém,Não,Não,Adulto,Alta
55,Masculino,Preta,Solteiro,Ensino médio completo,Aposentado,"$10,000 - $20,000",70,Sim,Não,Não,Pegou de outra forma,Não,Sim,Adulto,Alta
84,Feminino,Branca,Casado,Ensino técnico,Aposentado,"$100,000 a $150,000",70,Sim,Sim,Não,Pegou de outra forma,Sim,Não,Idoso,Alta
64,Feminino,Branca,Divorciado,Ensino médio completo,Empregado (Integral),"$30,000 - $40,000",70,Sim,Não,Não,Comprou o livro,Sim,Sim,Idoso,Alta
60,Masculino,Branca,Casado,Pós-graduação,Empregado (Integral),Não Informado,70,Sim,Sim,Sim,Pegou numa biblioteca,Sim,Não,Idoso,Alta
58,Feminino,Branca,Casado,Pós-graduação,Desempregado,"$100,000 - $150,000",70,Sim,Sim,Sim,Comprou o livro,Não,Sim,Adulto,Alta
53,Feminino,Branca,Casado,Ensino médio completo,Empregado (Integral),"$75,000 - $100,000",70,Sim,Não,Sim,Pegou de outra forma,Não,Não,Adulto,Alta
31,Feminino,Branca,Solteiro,Pós-graduação,Empregado (Integral),"$50,000 - $75,000",70,Sim,Não,Sim,Comprou o livro,Não,Sim,Adulto,Alta
22,Feminino,Branca,Casado,Ensino médio completo,Empregado (Meio Período),"Menos que $10,000",70,Sim,Não,Não,Comprou o livro,Não,Não,Adulto,Alta
21,Feminino,Branca,Solteiro,Ensino médio completo,Desempregado,"Menos que $10,000",70,Sim,Não,Não,Pegou emprestado de alguém,Não,Não,Adulto,Alta
16,Feminino,Branca,Solteiro,Ensino médio incompleto,Desempregado,"$100,000 a $150,000",70,Sim,Não,Não,Pegou numa biblioteca,Sim,Sim,Adolescente,Alta
61,Feminino,Branca,Casado,Pós-graduação,Empregado (Integral),"$100,000 - $150,000",67,Sim,Sim,Sim,Pegou numa biblioteca,Sim,Sim,Idoso,Alta
40,Masculino,Branca,Casado,Ensino médio completo,Desempregado,"Menos que $10,000",65,Sim,Não,Não,Comprou o livro,Não,Sim,Adulto,Alta
27,Masculino,Branca,Solteiro,Pós-graduação,Empregado (Integral),"$50,000 - $75,000",65,Não,Não,Sim,Comprou o livro,Sim,Sim,Adulto,Alta
35,Masculino,Indígena,Solteiro,Ensino médio completo,Empregado (Integral),"$100,000 - $150,000",60,Sim,Não,Não,Comprou o livro,Sim,Sim,Adulto,Alta
50,Feminino,Preta,Solteiro,Ensino médio completo,Desempregado,"$50,000 - $75,000",60,Sim,Não,Sim,Comprou o livro,Não,Sim,Adulto,Alta
45,Feminino,Preta,Casado,Ensino superior completo,Empregado (Integral),"$100,000 - $150,000",60,Sim,Sim,Sim,Pegou de outra forma,Não,Sim,Adulto,Alta
16,Masculino,Preta,Solteiro,Ensino médio incompleto,Empregado (Integral),"Menos que $10,000",60,Sim,Sim,Não,Comprou o livro,Sim,Sim,Adolescente,Alta
66,Feminino,Branca,Casado,Pós-graduação,Aposentado,"$50,000 - $75,000",60,Sim,Sim,Não,Pegou numa biblioteca,Sim,Sim,Idoso,Alta
66,Feminino,Branca,Divorciado,Ensino superior completo,Empregado (Integral),"$100,000 - $150,000",60,Sim,Não,Não,Comprou o livro,Sim,Não Informado,Idoso,Alta
65,Feminino,Branca,Casado,Ensino superior completo,Aposentado,"$50,000 - $75,000",60,Sim,Sim,Não,Comprou o livro,Sim,Sim,Idoso,Alta
62,Feminino,Branca,Viúvo,Ensino superior completo,Aposentado,"$40,000 - $50,000",60,Sim,Não,Não,Pegou emprestado de alguém,Sim,Sim,Idoso,Alta
61,Masculino,Branca,Casado,Pós-graduação,Empregado (Integral),"$50,000 - $75,000",60,Sim,Não,Sim,Comprou o livro,Não,Sim,Idoso,Alta
60,Masculino,Branca,Casado,Ensino superior completo,Empregado (Integral),"$100,000 - $150,000",60,Sim,Sim,Não,Comprou o livro,Sim,Não,Idoso,Alta
60,Feminino,Branca,Casado,Ensino superior completo,Aposentado,Não Informado,60,Sim,Sim,Sim,Comprou o livro,Sim,Sim,Idoso,Alta
58,Feminino,Branca,Viúvo,Ensino médio completo,Empregado (Integral),"$30,000 - $40,000",60,Sim,Não,Não,Pegou emprestado de alguém,Sim,Sim,Adulto,Alta
53,Masculino,Branca,Casado,Ensino superior completo,Empregado (Integral),"$75,000 - $100,000",60,Sim,Sim,Sim,Comprou o livro,Sim,Sim,Adulto,Alta
51,Feminino,Branca,Casado,Pós-graduação,Empregado (Integral),"$100,000 - $150,000",60,Sim,Não,Sim,Comprou o livro,Sim,Sim,Adulto,Alta
39,Feminino,Branca,Casado,Pós-graduação,Empregado (Meio Período),"$100,000 - $150,000",60,Sim,Não,Não,Pegou numa biblioteca,Sim,Sim,Adulto,Alta
38,Masculino,Branca,Divorciado,Ensino superior completo,Empregado (Integral),"$40,000 - $50,000",60,Sim,Não,Não,Comprou o livro,Sim,Sim,Adulto,Alta
23,Feminino,Branca,Solteiro,Ensino superior completo,Empregado (Meio Período),"$100,000 a $150,000",60,Sim,Sim,Não,Pegou emprestado de alguém,Sim,Sim,Adulto,Alta
22,Masculino,Branca,Solteiro,Ensino médio completo,Desempregado,"$100,000 a $150,000",60,Sim,Sim,Não,Comprou o livro,Sim,Sim,Adulto,Alta
21,Feminino,Branca,Solteiro,Ensino médio completo,Desempregado,"$100,000 a $150,000",60,Sim,Não,Sim,Comprou o livro,Não,Não,Adulto,Alta
34,Masculino,Não Informado,Casado,Ensino médio completo,Empregado (Integral),Não Informado,55,Sim,Sim,Sim,Comprou o livro,Sim,Sim,Adulto,Alta
81,Masculino,Branca,Casado,Ensino médio completo,Aposentado,Não Informado,55,Não Informado,Não,Não,Pegou de outra forma,Sim,Não,Idoso,Alta
66,Feminino,Branca,Outros,Ensino médio completo,Aposentado,"$40,000 - $50,000",55,Sim,Não,Sim,Comprou o livro,Sim,Não,Idoso,Alta
47,Feminino,Branca,Divorciado,Ensino médio completo,Empregado (Meio Período),"$10,000 - $20,000",54,Sim,Não,Sim,Pegou numa biblioteca,Não,Não,Adulto,Alta
68,Feminino,Branca,Casado,Pós-graduação,Empregado (Integral),Não Informado,52,Sim,Sim,Não,Pegou numa biblioteca,Sim,Sim,Idoso,Alta
29,Feminino,Branca,Casado,Pós-graduação,Empregado (Integral),"$75,000 - $100,000",52,Sim,Não,Sim,Comprou o livro,Não,Não,Adulto,Alta
21,Masculino,Branca,Casado,Ensino médio incompleto,Empregado (Integral),"$30,000 - $40,000",51,Sim,Não,Não,Pegou de outra forma,Não,Sim,Adulto,Alta
66,Masculino,Não Informado,Casado,Ensino superior completo,Empregado (Meio Período),"$100,000 a $150,000",50,Sim,Não,Não,Pegou de outra forma,Sim,Não,Idoso,Alta
50,Masculino,Não Informado,Solteiro,Ensino médio completo,Aposentado,Não Informado,50,Sim,Não,Não,Comprou o livro,Sim,Não,Adulto,Alta
26,Masculino,Não Informado,Casado,Ensino médio completo,Empregado (Integral),Não Informado,50,Sim,Não,Não,Comprou o livro,Não,Não,Adulto,Alta
56,Feminino,Não Informado,Casado,Pós-graduação,Outro,Não Informado,50,Sim,Não,Sim,Comprou o livro,Sim,Sim,Adulto,Alta
37,Masculino,Outro,Solteiro,Ensino médio completo,Aposentado,"Menos que $10,000",50,Sim,Não,Não,Comprou o livro,Sim,Sim,Adulto,Alta
16,Masculino,Outro,Solteiro,Ensino médio incompleto,Empregado (Meio Período),"$30,000 - $40,000",50,Sim,Não,Não,Comprou o livro,Não,Sim,Adolescente,Alta
32,Feminino,Indígena,Outros,Ensino médio completo,Desempregado,"$50,000 - $75,000",50,Sim,Não,Não,Pegou emprestado de alguém,Sim,Sim,Adulto,Alta
41,Feminino,Raça Mista,Casado,Pós-graduação,Desabilitado,"$30,000 - $40,000",50,Sim,Não,Não,Pegou de outra forma,Não,Não,Adulto,Alta
26,Masculino,Asiática,Outros,Ensino médio completo,Empregado (Integral),"$10,000 - $20,000",50,Sim,Não,Sim,Comprou o livro,Sim,Não,Adulto,Alta
61,Feminino,Preta,Casado,Pós-graduação,Empregado (Integral),"$40,000 - $50,000",50,Sim,Sim,Sim,Pegou de outra forma,Não,Não,Idoso,Alta
59,Feminino,Preta,Casado,Ensino superior completo,Empregado (Integral),"$100,000 - $150,000",50,Sim,Não,Não,Comprou o livro,Sim,Sim,Adulto,Alta
