Ano de Publicação,Título,Autor,Idioma,Nível do Autor,Avaliação Média,Contagem de Avaliações,Gênero,Vendas Brutas,Receita do Editor,Preço de Venda,Ranking de Vendas,Editora,Unidades Vendidas,Categoria de Avaliação
1975,Beowulf,"Unknown, Seamus Heaney",Inglês,Iniciante,3.42,155903,Ficção Científica,34160.0,20496.0,4.88,1,HarperCollins,7000,Baixa
1987,Batman: Year One,"Frank Miller, David Mazzucchelli, Richmond Lewis, Dennis O'Neil",Inglês,Intermediário,4.23,145267,Ficção Científica,12437.5,7462.5,1.99,2,HarperCollins,6250,Alta
2015,Go Set a Watchman,Harper Lee,Inglês,Iniciante,3.31,138669,Ficção Científica,47795.0,28677.0,8.69,3,Amazon,5500,Baixa
2008,When You Are Engulfed in Flames,David Sedaris,Inglês,Intermediário,4.04,150898,Ficção Científica,41250.0,24750.0,7.5,3,Hachette,5500,Média
2011,Daughter of Smoke & Bone,Laini Taylor,Inglês,Intermediário,4.04,198283,Ficção Científica,37952.5,22771.5,7.99,4,Penguin,4750,Média
2015,Red Queen,Victoria Aveyard,Inglês,Intermediário,4.08,83354,Ficção Científica,19960.0,0.0,4.99,5,Amazon,4000,Média
2011,The Power of Habit,Charles Duhigg,Inglês,Intermediário,4.03,155977,Ficção Científica,27491.67,16495.002,6.99,6,HarperCollins,3933,Média
1994,Midnight in the Garden of Good and Evil,John Berendt,Inglês,Intermediário,3.9,167997,Outro,26182.0,15709.2,6.89,8,Hachette,3800,Baixa
2012,Hopeless,Colleen Hoover,Inglês,Intermediário,4.34,189938,Ficção Científica,26093.67,15656.202,6.99,9,HarperCollins,3733,Alta
1905,A Little Princess,"Frances Hodgson Burnett, Nancy Bond",Inglês,Intermediário,4.2,199872,Ficção Científica,23792.34,14275.404,6.49,10,Random,3666,Alta
2004,The Truth About Forever,Sarah Dessen,Inglês,Intermediário,4.13,179415,Ficção Científica,17964.0,0.0,4.99,11,Amazon,3600,Alta
1954,The horse and his boy,C.S. Lewis,Inglês,Intermediário,3.9,189671,Ficção Científica,21564.0,12938.4,5.99,11,Penguin,3600,Baixa
2010,Last Sacrifice ,Richelle Mead,Inglês,Famoso,4.42,206792,Ficção Científica,3431.34,0.0,0.99,13,Amazon,3466,Alta
1935,Little House on the Prairie,"Laura Ingalls Wilder, Garth Williams",Inglês,Intermediário,4.18,195424,Ficção Científica,6897.34,4138.404,1.99,13,HarperCollins,3466,Alta
1922,The Velveteen Rabbit,"Margery Williams Bianco, William   Nicholson",Inglês,Intermediário,4.29,173469,Ficção Científica,21797.82,13078.692,6.54,15,Random,3333,Alta
1974,Zen and the Art of Motorcycle Maintenance,Robert M. Pirsig,Inglês,Intermediário,3.76,139411,Ficção Científica,16297.34,0.0,4.99,16,Amazon,3266,Baixa
1897,The War of the Worlds,"H.G. Wells, Arthur C. Clarke",Inglês,Intermediário,3.8,159752,Ficção Científica,15968.0,0.0,4.99,17,Amazon,3200,Baixa
2006,Pretty Little Liars,Sara Shepard,Inglês,Intermediário,3.9,156328,Ficção Científica,15968.0,0.0,4.99,17,Amazon,3200,Baixa
1948,Corduroy,Don Freeman,Inglês,Intermediário,4.28,160860,Ficção Científica,6234.67,3740.802,1.99,18,Simon,3133,Alta
2006,The Omnivore's Dilemma,Michael Pollan,Inglês,Intermediário,4.17,133271,Ficção Científica,3035.34,0.0,0.99,19,Amazon,3066,Alta
2013,Life After Life,Kate Atkinson,Inglês,Intermediário,3.74,138454,Ficção Científica,11702.67,0.0,3.99,21,Amazon,2933,Baixa
2000,The Rescue,Nicholas Sparks,Inglês,Intermediário,4.1,142092,Ficção Científica,8569.34,0.0,2.99,22,Amazon,2866,Média
1991,Needful Things,Stephen King,Outro,Intermediário,3.87,153821,Ficção Científica,2772.0,0.0,0.99,23,Amazon,2800,Baixa
1993,Voyager,Diana Gabaldon,Inglês,Intermediário,4.38,157395,Ficção Científica,8171.67,0.0,2.99,24,Amazon,2733,Alta
1981,Cujo,Stephen King,Espanhol,Intermediário,3.65,158215,Ficção Científica,7774.0,0.0,2.99,26,Amazon,2600,Baixa
